latitude,longitude
39.2294,-112.3734
39.2295,-112.3736
39.2295,-112.3738
39.2295,-112.374
39.2295,-112.3742
39.2294,-112.3743
39.2294,-112.3744
39.2293,-112.3745
39.2293,-112.3746
39.2294,-112.3748
39.2294,-112.375
39.2295,-112.3753
39.2295,-112.3755
39.2295,-112.3756
39.2295,-112.3757
39.2295,-112.3757
39.2295,-112.3759
39.2296,-112.376
39.2296,-112.3763
39.2298,-112.3765
39.2298,-112.3768
39.2299,-112.377
39.23,-112.3771
39.2301,-112.3772
39.2301,-112.3773
39.2301,-112.3775
39.2302,-112.3779
39.2303,-112.378
39.2304,-112.3781
39.2304,-112.3781
39.2304,-112.3781
39.2303,-112.3782
39.2303,-112.3783
39.2302,-112.3785
39.2303,-112.3787
39.2304,-112.3788
39.2304,-112.3788
39.2304,-112.3788
39.2304,-112.3788
39.2303,-112.3789
39.2302,-112.3791
39.2303,-112.3793
39.2303,-112.3795
39.2304,-112.3796
39.2305,-112.3795
39.2305,-112.3795
39.2305,-112.3796
39.2304,-112.3797
39.2304,-112.3799
39.2304,-112.3801
39.2305,-112.3802
39.2305,-112.3803
39.2306,-112.3803
39.2305,-112.3802
39.2304,-112.3803
39.2303,-112.3804
39.2304,-112.3806
39.2304,-112.3807
39.2305,-112.3807
39.2305,-112.3808
39.2306,-112.3809
39.2306,-112.3811
39.2306,-112.3813
39.2307,-112.3815
39.2308,-112.3816
39.231,-112.3817
39.231,-112.3817
39.2311,-112.3817
39.2311,-112.3818
39.2311,-112.382
39.2312,-112.3822
39.2312,-112.3824
39.2313,-112.3825
39.2313,-112.3826
39.2313,-112.3826
39.2313,-112.3827
39.2313,-112.3827
39.2314,-112.3829
39.2315,-112.383
39.2315,-112.3832
39.2316,-112.3833
39.2317,-112.3834
39.2317,-112.3835
39.2316,-112.3837
39.2316,-112.3838
39.2315,-112.3838
39.2315,-112.3839
39.2315,-112.384
39.2315,-112.3841
39.2316,-112.3842
39.2316,-112.3843
39.2315,-112.3844
39.2315,-112.3846
39.2315,-112.3848
39.2315,-112.3849
39.2315,-112.385
39.2315,-112.3851
39.2315,-112.3851
