time_bucket_2_accel,x (m/s^2),y (m/s^2),z (m/s^2),B (Raw)
557,0.8,1.47,-9.62,509
558,0.76,1.43,-9.62,509
559,0.76,1.43,-9.62,509
560,0.8,1.43,-9.58,509
561,0.73,1.47,-9.85,509
562,0.76,1.43,-9.66,509
563,0.76,1.39,-9.66,509
564,0.8,1.47,-9.66,509
565,0.76,1.47,-9.66,509
566,0.76,1.43,-9.62,509
567,0.8,1.43,-9.62,509
568,0.8,1.39,-9.62,509
569,0.76,1.43,-9.66,509
570,0.73,1.47,-9.77,509
571,0.76,1.47,-9.62,509
572,0.76,1.39,-9.62,509
573,0.76,1.43,-9.58,509
574,0.76,1.43,-9.62,509
575,0.73,1.28,-9.62,509
576,0.8,1.47,-9.62,509
577,0.8,1.43,-9.62,509
578,0.8,1.39,-9.62,509
579,0.8,1.43,-9.58,509
580,0.76,1.39,-9.62,509
581,0.8,1.32,-9.5,509
582,0.76,1.47,-9.62,509
583,0.76,1.43,-9.58,509
584,0.76,1.43,-9.66,509
585,0.8,1.43,-9.62,509
586,0.73,1.5,-9.62,509
587,0.76,1.43,-9.62,509
588,0.76,1.47,-9.62,509
589,0.76,1.47,-9.62,509
590,0.8,1.39,-9.62,509
592,0.8,1.43,-9.62,509
593,0.73,1.47,-9.58,509
594,0.8,1.43,-9.62,509
595,0.76,1.47,-9.58,509
596,0.76,1.47,-9.58,509
597,0.8,1.5,-9.62,509
598,0.73,1.47,-9.58,509
599,0.76,1.47,-9.62,509
600,0.8,1.47,-9.62,509
601,0.76,1.5,-9.58,509
602,0.8,1.39,-9.58,509
603,0.76,1.5,-9.58,509
604,0.8,1.43,-9.58,509
605,0.76,1.47,-9.66,509
606,0.8,1.43,-9.62,509
607,0.8,1.47,-9.62,509
608,0.76,1.47,-9.54,509
609,0.73,1.5,-9.66,509
610,0.8,1.43,-9.62,509
611,0.8,1.5,-9.54,509
612,0.73,1.47,-9.58,509
613,0.76,1.47,-9.62,509
614,0.8,1.47,-9.58,509
615,0.76,1.47,-9.54,509
616,0.76,1.5,-9.46,509
617,0.76,1.47,-9.42,509
618,0.73,1.47,-9.46,509
619,0.8,1.43,-9.58,509
620,0.76,1.54,-9.5,509
621,0.76,1.47,-9.46,509
622,0.76,1.47,-9.5,509
623,0.8,1.47,-9.42,509
624,0.76,1.5,-9.46,509
625,0.76,1.5,-9.5,509
626,0.8,1.47,-9.39,509
627,0.76,1.5,-9.39,509
628,0.76,1.47,-9.46,509
629,0.76,1.39,-9.35,509
630,0.76,1.28,-9.39,509
632,0.73,1.35,-9.39,509
633,0.84,1.43,-9.42,509
634,0.76,1.47,-9.42,509
635,0.76,1.47,-9.42,509
636,0.76,1.43,-9.46,509
637,0.76,1.5,-9.46,509
638,0.76,1.5,-9.39,509
639,0.73,1.47,-9.42,509
640,0.76,1.5,-9.42,509
641,0.76,1.47,-9.42,509
642,0.8,1.43,-9.42,509
643,0.76,1.47,-9.42,509
644,0.8,1.5,-9.46,509
645,0.76,1.47,-9.58,509
646,0.76,1.54,-9.54,509
647,0.73,1.43,-9.46,509
648,0.76,1.5,-9.5,509
649,0.8,1.5,-9.35,509
650,0.76,1.47,-9.39,509
651,0.76,1.5,-9.46,509
652,0.76,1.5,-9.46,509
653,0.8,1.5,-9.42,509
654,0.76,1.5,-9.46,509
655,0.76,1.47,-9.5,509
656,0.73,1.47,-9.5,509
657,0.76,1.47,-9.46,509
658,0.73,1.47,-9.42,509
659,0.73,1.47,-9.54,509
660,0.76,1.5,-9.54,509
661,0.76,1.47,-9.39,509
662,0.8,1.43,-9.42,509
663,0.8,1.47,-9.39,509
664,0.73,1.47,-9.35,509
665,0.8,1.47,-9.42,509
666,0.8,1.43,-9.42,509
667,0.76,1.43,-9.5,509
669,0.76,1.39,-9.42,509
670,0.76,1.47,-9.62,509
671,0.8,1.43,-9.54,509
672,0.76,1.39,-9.58,509
673,0.76,1.43,-9.5,509
674,0.76,1.43,-9.62,509
675,0.76,1.47,-9.54,509
676,0.73,1.5,-9.62,509
677,0.76,1.43,-9.54,509
678,0.76,1.43,-9.54,509
679,0.76,1.43,-9.54,509
680,0.76,1.5,-9.58,509
681,0.76,1.47,-9.58,509
682,0.8,1.47,-9.54,509
683,0.8,1.5,-9.58,509
684,0.8,1.43,-9.58,509
685,0.73,1.47,-9.58,509
686,0.8,1.47,-9.54,509
687,0.76,1.47,-9.62,509
688,0.73,1.47,-9.58,509
689,0.76,1.5,-9.54,509
690,0.76,1.47,-9.58,509
691,0.8,1.43,-9.62,509
692,0.8,1.5,-9.58,509
693,0.76,1.5,-9.54,509
694,0.8,1.39,-9.58,509
695,0.76,1.5,-9.62,509
696,0.73,1.28,-9.62,509
697,0.73,1.5,-9.69,509
698,0.76,1.47,-9.58,509
700,0.73,1.43,-9.58,509
701,0.76,1.47,-9.62,509
702,0.73,1.47,-9.58,509
703,0.76,1.47,-9.5,509
704,0.73,1.43,-9.62,509
705,0.76,1.5,-9.54,509
706,0.76,1.47,-9.58,509
707,0.73,1.43,-9.66,509
708,0.76,1.62,-9.54,509
709,0.76,1.5,-9.54,509
710,0.8,1.47,-9.54,509
711,0.76,1.47,-9.54,509
712,0.76,1.47,-9.5,509
713,0.76,1.47,-9.58,509
714,0.8,1.47,-9.54,509
715,0.8,1.32,-9.5,509
716,0.99,2.74,-9.77,509
717,0.76,1.47,-9.58,509
718,0.76,1.43,-9.5,509
719,0.76,1.43,-9.54,509
720,0.76,1.47,-9.54,509
721,0.8,1.43,-9.54,509
722,0.8,1.43,-9.58,509
723,0.73,1.5,-9.54,509
724,0.76,1.43,-9.35,509
725,0.76,1.47,-9.5,509
726,0.8,1.47,-9.5,509
727,0.8,1.47,-9.42,509
728,0.76,1.47,-9.42,509
729,0.76,1.43,-9.5,509
730,0.76,1.47,-9.73,509
731,0.76,1.43,-9.46,509
733,0.8,1.47,-9.46,509
734,0.76,1.47,-9.46,509
735,0.73,1.5,-9.54,509
736,0.76,1.5,-9.5,509
737,0.76,1.5,-9.58,509
738,0.76,1.47,-9.54,509
739,0.76,1.47,-9.5,509
740,0.76,1.47,-9.54,509
741,0.76,1.47,-9.46,509
742,0.8,1.43,-9.5,509
743,0.76,1.5,-9.46,509
744,0.73,1.43,-9.54,509
745,0.76,1.43,-9.46,509
746,0.73,1.5,-9.5,509
747,0.73,1.47,-9.54,509
748,0.8,1.47,-9.5,509
749,0.73,1.5,-9.58,509
750,0.76,1.47,-9.46,509
751,0.76,1.47,-9.46,509
752,0.73,1.43,-9.46,509
753,0.8,1.62,-9.54,509
754,0.76,1.47,-9.46,509
755,0.76,1.5,-9.42,509
756,0.8,1.39,-9.46,509
757,0.8,1.47,-9.5,509
758,0.73,1.54,-9.54,509
759,0.76,1.5,-9.5,509
760,0.73,1.47,-9.42,509
762,0.76,1.5,-9.35,509
763,0.8,1.47,-9.46,509
764,0.76,1.5,-9.42,509
765,0.76,1.47,-9.46,509
766,0.76,1.5,-9.5,509
767,0.8,1.39,-9.39,509
768,0.73,1.54,-9.46,509
769,0.76,1.47,-9.46,509
770,0.8,1.47,-9.42,509
771,0.8,1.47,-9.54,509
772,0.76,1.54,-9.42,509
773,0.76,1.47,-9.46,509
774,0.73,1.47,-9.5,509
775,0.76,1.47,-9.42,509
776,0.76,1.47,-9.46,509
777,0.76,1.47,-9.5,509
778,0.73,1.5,-9.5,509
779,0.8,1.47,-9.5,509
780,0.76,1.5,-9.46,509
781,0.76,1.54,-9.54,509
782,0.76,1.54,-9.46,509
783,0.76,1.54,-9.46,509
784,0.76,1.47,-9.42,509
785,0.73,1.54,-9.42,509
786,0.76,1.5,-9.46,509
787,0.73,1.47,-9.42,509
788,0.73,1.54,-9.46,509
789,1.06,1.58,-9.31,509
790,0.54,1.62,-9.35,509
791,0.58,2.11,-9.39,509
792,0.5,1.8,-9.39,509
793,0.5,1.73,-9.58,509
794,0.54,1.77,-9.35,509
795,0.47,1.69,-9.39,509
796,1.1,1.95,-9.66,509
797,0.54,2.26,-9.5,509
798,0.5,2.44,-9.5,509
799,0.95,0,-9.66,509
800,-16.69,-3.15,4.86,509
801,0.69,0.45,-8.8,509
803,1.33,6.09,-11.17,509
804,0.5,1.95,-9.23,509
805,0.28,7.78,-7.64,509
806,-1.4,7.36,-5.17,509
807,-0.17,8.08,-5.98,509
808,-0.8,7.93,-5.44,509
809,-1.25,7.74,-5.59,509
810,-0.69,5.37,-6.33,509
811,-2.08,7.67,-4.82,509
812,-1.93,8.68,-4.74,509
813,0.43,7.36,-7.18,509
814,0.58,1.62,-9.35,509
815,0.54,1.8,-9.39,509
816,0.58,1.77,-9.39,509
817,0.5,1.8,-9.46,509
818,0.54,1.77,-9.39,509
819,0.5,1.8,-9.35,509
820,0.24,2.59,-9.54,509
821,5.02,-6.87,-8.92,509
822,1.1,1.32,-9.27,509
823,1.21,0.72,-9.39,509
824,1.25,1.65,-7.64,509
825,0.39,4.28,-8.38,509
826,0.35,3.83,-8.53,509
827,0.95,3.83,-9.04,509
828,-0.36,3.46,-7.14,509
829,1.14,3.91,-9.27,509
830,2.82,3.61,-9.35,509
831,0.5,3.65,-7.22,509
832,1.1,2.44,-8.5,509
833,0.5,2.37,-8.92,509
834,0.32,1.99,-9.69,509
835,-0.02,1.69,-9.39,509
836,0.84,2.14,-9.69,509
837,0.43,2.86,-9.15,509
838,1.47,2.41,-9.31,509
839,1.14,2.41,-9.19,509
840,1.33,2.37,-9.35,509
841,1.59,2.33,-10,509
842,1.29,2.33,-9.27,509
844,2.18,1.05,-9.42,509
